,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
184,,,,,,,1,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
185,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
186,,,,,,,1.4,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
187,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
188,,,,,,,1.3,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
189,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
190,,,,,,,1.8199999999999998,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
191,,"1½"" 
(Weldolet)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,11,,,,,,11,4,4,관리소,A,44,,44,44,A,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
192,,,,,,,1,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
193,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
194,,,,,,,1.4,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
195,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
196,,,,,,,1.3,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
197,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
198,,,,,,,1.8199999999999998,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
199,,"1"" 
(Weldolet)",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,1,,,,,,1,4,4,관리소,A,4,,4,4,A,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
200,,,,,,,1,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
201,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
202,,,,,,,1.4,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
203,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
204,,,,,,,1.3,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
205,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
206,,,,,,,1.8199999999999998,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
207,,합계,,,,,,,3948,0,0,0,0,0,3948,,,,,18519,0,18519,20347,,
208,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,
211,,  □ RT야간,,,,,,,,,,,,,,,,,,,,,,,
212,,구경,"방사선원
종류","방사선원
보정계수㉲",투과두께,"투과두께
보정계수㉱","보정계수
종합","대상
분야",용접개소(BW),,,,,,,"개소당
촬영매수","개소당
촬영매수
(숨김)","대상
분야
(숨김)","필름
규격
(숨김)",ORIGINAL,REPAIR(3%),TOTAL,산식적용값,"필름
규격",비고
213,,,,,,,,,가산~가평,,,,,,소계,,,,,,,,,,
